21323,28257
61560,17118
55057,65255
55063,21101
1624,29374
40339,34857
19807,28277
7312,31382
56813,23555
17529,62895
50846,4260
27732,64762
17225,47551
53022,57636
31526,6028
62155,5601
47830,31612
685,12739
52606,41092
51156,122
53874,4440
34822,40044
35169,20791
52808,58542
57137,60679
51738,32608
44690,34680
21421,64195
25206,46620
46737,56935
734,49380
39201,35575
20338,44632
53359,22341
56339,7849
50632,52270
45937,47431
36752,50582
12263,64125
49733,50395
29831,41245
47919,14085
64766,47108
9229,38435
62321,63815
18661,52347
36249,48335
40599,2541
24283,56881
19651,10649
59799,58605
26557,37843
28483,56345
45682,61784
2769,63143
39882,50448
5171,16841
51851,25761
3072,38086
62731,36641
21656,510
12931,61529
38828,5106
6635,51713
17751,173
16610,57480
20961,37303
23516,1250
33403,64209
60071,51517
54424,33278
162,3400
2195,2857
2572,44882
7204,23754
5827,27545
42268,33570
2561,44503
60928,59078
25895,62397
30223,60389
15654,41356
55758,31188
15667,10953
6639,45253
37387,31777
61826,33576
54761,11103
17139,5513
59905,36311
15068,7138
24027,60721
22815,40245
4812,5650
10694,2092
8428,30258
47210,32176
18162,60888
10305,19991
63041,56343
57682,16184
9093,20507
19933,60659
43479,23853
41835,56193
13722,41696
60919,40013
15501,13987
58058,19472
40145,63655
37177,18031
42170,25600
6758,42956
50078,23972
17433,27471
12419,42585
9932,43538
55606,20956
57660,28738
51848,47086
13751,60941
35922,59960
9248,50918
10423,47373
61547,129
33068,5490
56660,32250
23614,41284
6132,36250
8286,20068
38698,57968
20727,3917
54166,34620
42907,36593
22193,21639
35274,56080
58128,30998
55379,59113
59990,15100
52958,3300
49036,48338
15305,33343
25739,20129
37272,5886
30543,46117
46896,49462
63034,54656
33196,5618
47506,19064
5565,31187
23041,32215
11745,32183
6412,44626
16868,3722
26214,9164
37437,42579
1294,4884
8727,34157
10886,32492
9381,28987
23129,16527
28864,13446
11772,28162
18506,24976
46568,36430
29274,57248
2535,15485
3929,44431
58734,39028
8150,55420
38499,9785
55755,11489
59973,60635
13998,14772
21726,62180
44877,58211
1265,15047
41817,57743
38148,38058
10651,4337
10395,51185
58894,62484
3909,41435
25543,57181
